instance,balance_load,total_vehicles,safe_vehicles,p_safe
3l_cvrp26_3,0.04794605394663053,29,21,0.7241379310344828
3l_cvrp26_4,0.04794605394663053,29,21,0.7241379310344828
3l_cvrp26_5,0.04794605394663053,29,21,0.7241379310344828
3l_cvrp26_6,0.04794605394663053,29,21,0.7241379310344828
3l_cvrp26_7,0.04794605394663053,29,21,0.7241379310344828
3l_cvrp26_8,0.04794605394663053,29,21,0.7241379310344828
3l_cvrp26_9,0.04794605394663053,29,21,0.7241379310344828
3l_cvrp27_0,0.05215693657465339,29,18,0.6206896551724138
3l_cvrp27_1,0.05215693657465339,29,18,0.6206896551724138
3l_cvrp27_2,0.05215693657465339,29,18,0.6206896551724138
3l_cvrp27_3,0.05215693657465339,29,18,0.6206896551724138
3l_cvrp27_4,0.05215693657465339,29,18,0.6206896551724138
3l_cvrp27_5,0.05215693657465339,29,18,0.6206896551724138
3l_cvrp27_6,0.05215693657465339,29,18,0.6206896551724138
3l_cvrp27_7,0.05215693657465339,29,18,0.6206896551724138
3l_cvrp27_8,0.05215693657465339,29,18,0.6206896551724138
3l_cvrp27_9,0.05215693657465339,29,18,0.6206896551724138
